Title,Game,player1,player2
Saturday Trials 3 SF6 Winners R1 - Aceman (Juri) vs Gold_Phantom__ (A.K.I.),Street Fighter 6,Aceman,Gold_Phantom__
Saturday Trials 3 SF6 Winners R2 - Chee (Marisa) vs Ichi (Chun-Li),Street Fighter 6,Chee,Ichi
Saturday Trials 3 SF6 Winners R3 - EssBee (Ken) vs Carls493 (Lily),Street Fighter 6,EssBee,Carls493
Saturday Trials 3 SF6 Winners Semis - DonShark (Chun-Li) vs Chee (Marisa),Street Fighter 6,DonShark,Chee
Saturday Trials 3 SF6 Winners Semis - GalaxyBrAn (Blanka) vs Wobbles (Ken),Street Fighter 6,GalaxyBrAn,Wobbles
Saturday Trials 3 SSBU Grand Final - Scoops (Mii Brawler) vs Geist (Bayonetta),Ultimate,Scoops,Geist
"Saturday Trials 3 SSBU Losers Final - Tenant (Snake, R.O.B., Random) vs Scoops (Mii Brawler, Random)",Ultimate,Tenant,Scoops
Saturday Trials 3 SSBU Losers Quarters - SoftAsSilque (Pit) vs Tenant (R.O.B.),Ultimate,SoftAsSilque,Tenant
Saturday Trials 3 SSBU Losers Semis - Tenant (R.O.B.) vs TimeGear (Min Min),Ultimate,Tenant,TimeGear
Saturday Trials 3 SSBU Winners Final - Geist (Bayonetta) vs Scoops (Mii Brawler),Ultimate,Geist,Scoops
Saturday Trials 3 T8 Grand Final - Victeemo (Nina) vs Sol Naciente (King),Tekken 8,Victeemo,Sol Naciente
Saturday Trials 3 T8 Losers Final - Victeemo (Nina) vs Mr J_7B (Victor),Tekken 8,Victeemo,Mr J_7B
Saturday Trials 3 T8 Losers Quarters - CantBreakEmAll (King) vs Acvius (Dragunov),Tekken 8,CantBreakEmAll,Acvius
Saturday Trials 3 T8 Losers Quarters - RyDaGuy (Claudio) vs Victeemo (Nina),Tekken 8,RyDaGuy,Victeemo
Saturday Trials 3 T8 Losers R5 - CantBreakEmAll (King) vs Rane (Feng),Tekken 8,CantBreakEmAll,Rane
Saturday Trials 3 T8 Losers R6 - OtherHiro (Azucena) vs CantBreakEmAll (King),Tekken 8,OtherHiro,CantBreakEmAll
"Saturday Trials 3 T8 Losers R6 - RyDaGuy (Claudio) vs ashton kusher (Hwoarang, Bryan)",Tekken 8,RyDaGuy,ashton kusher
Saturday Trials 3 T8 Losers Semis - Victeemo (Nina) vs CantBreakEmAll (King),Tekken 8,Victeemo,CantBreakEmAll
Saturday Trials 3 T8 Winners Final - Sol Naciente (King) vs Mr J_7B (Victor),Tekken 8,Sol Naciente,Mr J_7B
Saturday Trials 4 GGST Grand Final - Bebeo Amibo (Johnny) vs Noel Black (Sin),Guilty Gear: Strive,Bebeo Amibo,Noel
Saturday Trials 4 GGST Losers Final - Mangocopter (Potemkin) vs Noel Black (Sin),Guilty Gear: Strive,Mangocopter,Noel
Saturday Trials 4 GGST Losers Quarters - Mangocopter (Potemkin) vs Callie The Potato (Sol),Guilty Gear: Strive,Mangocopter,Callie The Potato
Saturday Trials 4 GGST Losers Quarters - Yemma (A.B.A) vs WiseMysticTree (Millia),Guilty Gear: Strive,Yemma,WiseMysticTree
Saturday Trials 4 GGST Losers R2 - WarpWhistle (Potemkin) vs Gold_Phantom__ (Goldlewis),Guilty Gear: Strive,WarpWhistle,Gold_Phantom__
Saturday Trials 4 GGST Losers R2 - Yemma (A.B.A) vs totallykroad (Testament),Guilty Gear: Strive,Yemma,totallykroad
Saturday Trials 4 GGST Losers R4 - Joshua Supostus (Potemkin) vs ThereGoesMySanity (May),Guilty Gear: Strive,Supostus,ThereGoesMySanity
Saturday Trials 4 GGST Losers R4 - Yemma (Happy Chaos) vs mooni (Bridget),Guilty Gear: Strive,Yemma,mooni
Saturday Trials 4 GGST Losers R4 - Zeal (Slayer) vs Mangocopter (Potemkin),Guilty Gear: Strive,Zeal,Mangocopter
"Saturday Trials 4 GGST Losers R5 - Joshua Supostus (Potemkin, Ky) vs Yemma (Happy Chaos)",Guilty Gear: Strive,Supostus,Yemma
Saturday Trials 4 GGST Losers R5 - Mangocopter (Potemkin) vs Gold_Phantom__ (Goldlewis),Guilty Gear: Strive,Mangocopter,Gold_Phantom__
Saturday Trials 4 GGST Losers Semis - Mangocopter (Potemkin) vs Yemma (Happy Chaos),Guilty Gear: Strive,Mangocopter,Yemma
Saturday Trials 4 GGST Winners Final - Noel Black (Sin) vs Bebeo Amibo (Johnny),Guilty Gear: Strive,Noel,Bebeo Amibo
Saturday Trials 4 GGST Winners Quarters - Noel Black (Sin) vs ThereGoesMySanity (Sol),Guilty Gear: Strive,Noel,ThereGoesMySanity
"Saturday Trials 4 GGST Winners Quarters - SlabOfBeef (Anji, Nagoriyuki) vs Bebeo Amibo (Leo)",Guilty Gear: Strive,SlabofBeef,Bebeo Amibo
Saturday Trials 4 GGST Winners R1 - Flashy Git (I-No) vs Jojo (Jack-O'),Guilty Gear: Strive,Flashy Git,Jojo
Saturday Trials 4 GGST Winners R2 - Callie The Potato (Sol) vs Jojo (Jack-O'),Guilty Gear: Strive,Callie The Potato,Jojo
"Saturday Trials 4 GGST Winners R2 - Noel Black (Sin) vs Draconis (Asuka, Johnny)",Guilty Gear: Strive,Noel,Draconis
"Saturday Trials 4 GGST Winners Semis - Bebeo Amibo (Leo, Johnny) vs WiseMysticTree (Millia)",Guilty Gear: Strive,Bebeo Amibo,WiseMysticTree
Saturday Trials 4 GGST Winners Semis - Noel Black (Sin) vs Callie The Potato (Sol),Guilty Gear: Strive,Noel,Callie The Potato
Saturday Trials 4 SF6 Losers R4 - Alphaivey (M. Bison) vs Mag3r (Zangief),Street Fighter 6,Alphaivey,Mag3r
"Saturday Trials 4 SF6 Losers R4 - Ichi (Manon, Chun-Li) vs LabyrinthZ (Lily)",Street Fighter 6,Ichi,LabyrinthZ
Saturday Trials 4 SF6 Losers R4 - Joe_Yeet (Marisa) vs ShepDog (Akuma),Street Fighter 6,Joe_Yeet,ShepDog
Saturday Trials 4 SF6 Winners Quarters - GalaxyBrAn (Blanka) vs ShinLad (Cammy),Street Fighter 6,GalaxyBrAn,ShinLad
Saturday Trials 4 SF6 Winners Quarters - Mag3r (Zangief) vs Squall (M. Bison),Street Fighter 6,Mag3r,Squall
Saturday Trials 4 SF6 Winners R1 - Sykom (Ryu) vs Macks (Ken),Street Fighter 6,Sykom,Macks
Saturday Trials 4 SF6 Winners R2 - Karinole (Akuma) vs jmgn (Akuma),Street Fighter 6,Karinole,jmgn
Saturday Trials 4 SF6 Winners R2 - Mangocopter (Ryu) vs LabyrinthZ (Lily),Street Fighter 6,Mangocopter,LabyrinthZ
Saturday Trials 4 SF6 Winners R2 - ShinLad (Cammy) vs Macks (Ken),Street Fighter 6,ShinLad,Macks
"Saturday Trials 4 T8 Losers R1 - TheMitt86 (Lee) vs DGISALWAYS (King, Paul)",Tekken 8,TheMitt86,DGISALWAYS
Saturday Trials 4 T8 Losers R3 - TheMitt86 (Lee) vs fourside (Panda),Tekken 8,TheMitt86,fourside
Saturday Trials 4 T8 Winners Quarters - Dandy J (Feng) vs Ola (Eddy),Tekken 8,Dandy J,Ola
Saturday Trials 4 T8 Winners Quarters - TaishouNara (Xiaoyu) vs Sol Naciente (King),Tekken 8,TaishouNara,Sol Naciente
